Nombre,Apellido,RUT,Dirección,Comuna,N° Cuenta Corriente,Banco,Monto de Garantía,Fecha de Pago de Garantía,N° Jornada de Remate,Fecha del Remate,Modelo de Automóvil,Categoría de Automóvil,Proveedor del Auto,Pago del Restante,Fecha de Pago del Restante,Devolución de Garantía,Fecha de Devolución,Cantidad de Click en Inicio,"Cantidad de Click en ""Quiénes Somos""",Cantidad de Click en Contacto,Cantidad de Click en Remates Activos,Cantidad de Click en Abonar Garantía,Cantidad de Click en Agregar al Carro,Cantidad de Click a Salón de Remate
Rafaela,Plaza,7164113-9,"Pasadizo de Amalia Quirós 67
Málaga, 10127",La Florida,ES5742194892411578156593,Santander,1804407.56,2024-07-04,35,2024-09-27,Ford Fiesta,Hatchback,Banco Estado,0.0,,1804407.56,2024-12-20,28,30,29,128,7,2,90
Azahar,Juliá,12169707-6,"C. Leocadia Abella 475
Teruel, 05127",La Florida,ES0239332871158714841858,Santander,1079932.97,2024-03-19,48,2024-11-08,Nissan Sentra,Sedán,BCI,8067198.49,2024-12-05,0.0,,0,28,0,27,19,19,14
Victor,Bravo,12379431-1,"Cañada Gerónimo Fajardo 50 Piso 1 
Soria, 50650",Santiago,ES3022018684833969477515,Scotiabank,777983.53,2024-02-14,5,2024-08-20,Toyota Corolla,Sedán,Scotiabank,14668785.71,2024-12-11,0.0,,47,40,25,45,12,12,99
Eva María,Naranjo,2491974-9,"Callejón Demetrio Giménez 62
Almería, 07593",Ñuñoa,ES9323098910139916151090,Scotiabank,1973028.26,2024-03-16,12,2024-05-26,Ford Fiesta,SUV,Banco Estado,0.0,,1973028.26,2024-07-13,60,44,14,125,42,15,79
Alejandra,Galvez,2759046-2,"Via de Petrona Juan 4
Segovia, 20730",Vitacura,ES8056208709163457923022,Banco Estado,1761143.21,2024-05-12,10,2024-12-03,Toyota Corolla,Coupé,Santander,0.0,,1761143.21,2024-12-15,8,35,38,10,28,62,99
Desiderio,Salamanca,5714691-5,"Ronda de Trinidad Verdugo 75
Burgos, 37739",Las Condes,ES4907150842375945992466,Santander,1620958.46,2024-02-01,39,2024-02-01,Chevrolet Spark,SUV,Banco Estado,13009321.99,2024-09-18,0.0,,82,28,46,1,44,91,89
Gregorio,Múñiz,12012594-K,"Pasaje Reyes Ribas 7
Vizcaya, 44397",Vitacura,ES8902714278789007547063,BCI,626200.94,2024-02-02,13,2024-12-23,Toyota Corolla,Coupé,Scotiabank,0.0,,626200.94,2024-12-24,78,34,39,136,29,83,69
Albino,Querol,8142079-3,"Glorieta Alberto Abril 491 Apt. 93 
Cuenca, 46124",Las Condes,ES8521761047142851240003,Banco Estado,1023160.3,2024-04-10,35,2024-11-12,Ford Fiesta,Coupé,Scotiabank,8626956.15,2024-12-12,0.0,,89,10,44,116,15,14,40
Quique,Arnal,23884568-8,"Acceso de Salomé Escalona 56 Apt. 22 
Guipúzcoa, 23119",Santiago,ES8051590042294568241730,Santander,1653599.03,2024-04-29,9,2024-07-07,Honda Civic,Hatchback,Santander,0.0,,1653599.03,2024-12-20,68,18,4,150,16,64,65
Azeneth,Belda,13181044-K,"Cañada de Severino Camps 9 Piso 7 
Zaragoza, 23521",Vitacura,ES3617176045229611133060,Scotiabank,1878118.6,2024-02-08,9,2024-07-09,Honda Civic,Coupé,Santander,9559941.64,2024-10-25,0.0,,58,36,39,51,5,53,37
Aurelia,Manjón,3510748-7,"Ronda Celso Pedrosa 34 Piso 3 
Baleares, 05184",La Florida,ES2208731764303921376582,Banco Estado,1457127.65,2024-02-10,27,2024-09-28,Chevrolet Spark,SUV,Banco Estado,0.0,,1457127.65,2024-11-14,100,36,16,23,14,96,13
Eusebio,Ramis,15875679-K,"Cuesta de Andrea Franch 193 Piso 5 
Alicante, 35413",La Florida,ES6824926947118013204075,Scotiabank,869005.55,2024-03-03,11,2024-04-29,Toyota Corolla,SUV,Banco de Chile,12261089.22,2024-10-24,0.0,,0,22,50,29,32,71,34
Ramiro,Vazquez,14608911-9,"Pasadizo Marta Benito 53
Lugo, 26465",Vitacura,ES0299300248945174466602,Banco Estado,665448.49,2024-02-19,10,2024-05-21,Honda Civic,Camioneta,Scotiabank,0.0,,665448.49,2024-09-09,71,3,33,126,5,21,22
Luisina,Múñiz,11813574-1,"Ronda de Epifanio Téllez 612
Alicante, 41093",Las Condes,ES8076701720099251853671,Scotiabank,1924437.78,2024-01-24,46,2024-09-16,Nissan Sentra,Hatchback,Santander,6677375.09,2024-12-15,0.0,,100,34,20,60,31,79,55
Encarnacion,Nebot,5103885-1,"C. Nerea Marin 9 Apt. 06 
Huesca, 50585",Ñuñoa,ES6737510074089933188684,Banco Estado,760775.81,2024-02-14,31,2024-04-10,Honda Civic,Coupé,Banco Estado,11955765.13,2024-09-22,0.0,,85,12,44,88,46,37,51
Tecla,Roca,11157553-3,"Avenida de Conrado Ribes 80
Soria, 28329",Providencia,ES8407541511505520351923,Scotiabank,1373565.37,2024-01-02,16,2024-03-21,Nissan Sentra,Hatchback,Banco de Chile,13786109.24,2024-12-01,0.0,,32,32,38,56,36,45,46
Ignacia,Casal,20499596-6,"Plaza de Elodia Guerrero 82 Apt. 75 
Barcelona, 02830",Vitacura,ES1735574485291189426223,Banco de Chile,1208601.98,2024-05-02,47,2024-11-15,Toyota Corolla,Camioneta,Banco Estado,16377326.67,2024-11-26,0.0,,41,34,31,133,46,34,49
Jordi,Espejo,7181909-4,"Calle de Rosalinda Catalán 206 Puerta 1 
La Rioja, 20620",Santiago,ES5686296451375806606573,Banco de Chile,771245.32,2024-05-24,6,2024-09-14,Nissan Sentra,SUV,BCI,13243392.47,2024-12-14,0.0,,95,17,30,23,24,24,41
Ciriaco,Esteve,22494633-3,"Paseo Eloísa Correa 36 Piso 6 
Ciudad, 30717",Providencia,ES6758257173407970341489,Scotiabank,1950699.24,2024-03-01,41,2024-08-12,Honda Civic,Camioneta,Banco Estado,0.0,,1950699.24,2024-12-27,49,35,32,131,1,17,71
Maricruz,Soto,19512686-0,"Paseo María Belén Ramirez 20 Piso 0 
Córdoba, 27111",La Florida,ES1389671454391014485183,Banco Estado,776777.11,2024-03-04,31,2024-03-30,Nissan Sentra,Camioneta,Banco Estado,8142867.72,2024-09-07,0.0,,47,10,4,87,9,33,19
Rosalinda,Manjón,22433463-K,"Paseo Cruz Reig 564
Huesca, 38239",Santiago,ES9522116697284576377857,BCI,1309315.3,2024-01-24,11,2024-07-14,Chevrolet Spark,Camioneta,Scotiabank,0.0,,1309315.3,2024-09-10,49,25,11,38,6,29,50
Eric,Valbuena,1465299-K,"Acceso Adriana Portillo 9
Soria, 06332",Vitacura,ES1360501904432943167562,Banco Estado,949310.08,2024-05-08,44,2024-10-18,Toyota Corolla,SUV,Scotiabank,0.0,,949310.08,2024-12-19,11,38,14,22,28,96,81
Teófila,Rozas,6363732-7,"Pasadizo Maximiano Castelló 82 Piso 6 
Zaragoza, 33240",La Florida,ES0563373906031250239491,Banco de Chile,1900548.76,2024-04-20,47,2024-09-04,Ford Fiesta,Camioneta,BCI,0.0,,1900548.76,2024-11-22,25,34,37,143,11,34,52
Álvaro,Balaguer,7291828-2,"Callejón de Julie Tamarit 55 Apt. 00 
Huelva, 01253",Las Condes,ES3840216396837359191558,Banco Estado,809675.99,2024-06-25,11,2024-12-15,Chevrolet Spark,Hatchback,BCI,0.0,,809675.99,2024-12-22,71,32,48,29,17,30,28
José Mari,Andres,11420065-4,"Avenida de Hugo Zamorano 43
Soria, 48777",Ñuñoa,ES8744864753048107770677,BCI,997969.15,2024-06-19,4,2024-08-03,Nissan Sentra,Coupé,BCI,0.0,,997969.15,2024-08-19,57,5,8,12,13,16,1
Ceferino,Hernando,2033806-7,"Glorieta de Valero Benítez 78
Cádiz, 17366",Las Condes,ES3073245561849834789784,Banco Estado,517900.89,2024-04-15,30,2024-07-14,Ford Fiesta,Hatchback,Banco de Chile,19657957.41,2024-07-17,0.0,,92,44,12,111,26,36,53
Diego,Cabeza,12651671-1,"Glorieta Lucas Agudo 186 Apt. 64 
Valencia, 38006",Las Condes,ES1653843318453574922088,Banco de Chile,1893179.66,2024-05-07,21,2024-09-26,Honda Civic,Coupé,Banco Estado,8105358.92,2024-11-21,0.0,,43,19,15,179,14,20,44
Fabiola,Amaya,12726256-K,"Rambla Arcelia Benito 83 Puerta 3 
Toledo, 09659",La Florida,ES1736599271908957740382,Banco Estado,1042422.31,2024-07-11,47,2024-12-15,Toyota Corolla,Camioneta,Santander,0.0,,1042422.31,2024-12-26,11,3,45,174,36,57,97
Carina,Mir,22340784-6,"C. Juliana Feijoo 74 Apt. 30 
Toledo, 49960",Las Condes,ES7435734524059802507003,Banco de Chile,826982.5,2024-01-18,22,2024-01-22,Honda Civic,Sedán,Banco de Chile,0.0,,826982.5,2024-04-18,7,47,45,89,8,59,44
Francisca,Morillo,4416290-3,"Ronda de Elías Gascón 36
Granada, 12595",Ñuñoa,ES8156606488709166208298,Banco Estado,634297.64,2024-02-27,43,2024-03-28,Ford Fiesta,SUV,BCI,0.0,,634297.64,2024-08-03,95,7,42,84,34,34,13
Jordán,Egea,14830530-7,"Paseo Florentino Bermudez 29
Teruel, 10835",Las Condes,ES5999045600715427385265,Santander,1842980.35,2024-04-14,12,2024-10-22,Chevrolet Spark,SUV,Banco de Chile,19378641.15,2024-11-29,0.0,,54,31,48,34,12,19,66
Albino,Mercader,17571072-8,"Paseo Concepción Jáuregui 8 Piso 1 
Huelva, 33506",Santiago,ES0600404943885643195398,Scotiabank,1491970.67,2024-05-17,12,2024-07-19,Chevrolet Spark,Sedán,Banco Estado,0.0,,1491970.67,2024-08-17,35,14,32,68,6,97,44
Natalio,Agullo,14113593-7,"Acceso de Lupe Marcos 77
Cáceres, 01066",Vitacura,ES7429072507493186428212,Banco de Chile,1815568.55,2024-02-12,22,2024-08-25,Ford Fiesta,SUV,Santander,0.0,,1815568.55,2024-12-25,35,21,49,113,41,61,80
Natividad,Planas,16337141-3,"Cañada de Albert Romero 94 Puerta 8 
Guipúzcoa, 13451",Vitacura,ES9462082965708693058235,Scotiabank,1906590.78,2024-07-12,45,2024-07-15,Nissan Sentra,Sedán,Scotiabank,0.0,,1906590.78,2024-12-03,33,40,11,34,34,39,78
Macaria,Ibañez,23036139-8,"Ronda Casemiro Samper 97 Puerta 1 
Cáceres, 29868",Ñuñoa,ES4716644659514070436666,Banco Estado,1601388.09,2024-01-15,43,2024-08-28,Honda Civic,Coupé,BCI,0.0,,1601388.09,2024-11-26,25,19,33,16,12,64,90
Pedro,Castañeda,12271364-4,"C. Ainoa Vélez 20 Puerta 5 
Álava, 05546",Las Condes,ES6031870505624629264802,Santander,1869810.9,2024-02-18,3,2024-04-10,Honda Civic,Sedán,Banco Estado,0.0,,1869810.9,2024-10-13,69,24,9,188,0,13,10
Julieta,Artigas,20617291-6,"Acceso Nereida Blanch 9 Apt. 43 
Guadalajara, 46901",Las Condes,ES3744872782092805137937,Santander,1551221.51,2024-03-02,46,2024-12-02,Ford Fiesta,Coupé,BCI,5000763.98,2024-12-18,0.0,,90,42,5,32,42,5,11
Ximena,Cepeda,3824486-8,"Pasadizo Olegario Acedo 2
Pontevedra, 24089",Las Condes,ES7597568512502205930604,Santander,1993149.75,2024-05-31,1,2024-06-20,Toyota Corolla,Coupé,Banco de Chile,14137560.28,2024-10-14,0.0,,25,16,3,149,17,40,45
María Fernanda,Diéguez,19035747-3,"Calle de Valero Pacheco 594
La Rioja, 12840",Ñuñoa,ES2507436151105026905787,BCI,1376860.64,2024-07-04,5,2024-07-19,Ford Fiesta,Coupé,Scotiabank,5638173.63,2024-07-29,0.0,,99,46,14,15,3,6,30
Blanca,Quesada,7157870-4,"Avenida Nazario Palmer 8
Burgos, 34855",Las Condes,ES5640065282222395076033,Banco Estado,1612297.77,2024-04-19,2,2024-08-24,Nissan Sentra,Sedán,Banco Estado,6532085.55,2024-09-26,0.0,,29,31,5,59,7,9,59
